index,ioi_beat,unbiased_cv,npvi,fourier_beat,freq_reso,n_elements,signal_length,ugof_ioi,ugof_fft,fs,filename,temperature,abundance,n_sound_per_min,time_of_day,acoustic_diversity,location,year,month,day ,time_h,time_min ,vess_den_fishing,vess_den_pleasure,vess_den_speed,vess_den_tot,vess_den_big,vess_den_other,vess_den_trade
89,0.37,0.15,12.91,27.95,0.02,25,13000,0.39,0.4,200,BM_89.xlsx,23,H,25,L,3,Trieste_21,2021,8,27,20,25,0,0.3,0,52.9,32.2,20.4,0
90,0.3,0.12,16.5,13.97,0.02,20,12668,0.38,0.47,200,BM_90.xlsx,24,L,20,L,3,Trieste_21,2021,8,24,21,15,0,0.3,0,52.9,32.2,20.4,0
91,0.35,0.14,13.62,50.54,0.02,20,10973,0.56,0.57,200,BM_91.csv,26,L,20,L,3,Trieste_21,2021,8,9,21,20,0,0.3,0,52.9,32.2,20.4,0
92,0.33,0.14,17.54,0.35,0.02,19,10771,0.64,0.68,200,BM_92.csv,26,L,19,L,3,Trieste_21,2021,8,9,23,22,0,0.3,0,52.9,32.2,20.4,0
93,0.26,0.44,30.06,3.38,0.02,16,11410,0.44,0.69,200,BM_93.csv,25,L,16,H,3,Trieste_21,2021,7,22,21,50,0,0.1,0,134.2,32.7,101.4,0
94,0.42,0.2,16.13,3.08,0.02,27,12469,0.47,0.6,200,BM_94.csv,26,H,27,L,3,Trieste_21,2021,7,26,20,50,0,0.1,0,134.2,32.7,101.4,0
95,0.38,0.12,12.22,0.38,0.02,25,12578,0.62,0.62,200,BM_95.csv,26,H,25,L,3,Trieste_21,2021,8,8,23,50,0,0.3,0,52.9,32.2,20.4,0
96,0.26,0.2,24.68,9.78,0.02,16,11653,0.56,0.69,200,BM_96.csv,25,L,16,L,3,Trieste_21,2021,7,22,20,50,0,0.1,0,134.2,32.7,101.4,0
97,0.3,0.16,10.96,64.63,0.02,18,11341,0.62,0.44,200,BM_97.csv,25,L,18,H,3,Trieste_21,2021,7,22,22,50,0,0.1,0,134.2,32.7,101.4,0
98,0.36,0.2,20.58,64.65,0.02,22,11703,0.53,0.43,200,BM_98.csv,25,L,22,L,3,Trieste_21,2021,7,25,23,50,0,0.1,0,134.2,32.7,101.4,0
99,0.42,0.16,17.1,0.43,0.02,25,11515,0.52,0.52,200,BM_99.csv,26,H,25,H,3,Trieste_21,2021,8,2,22,50,0,0.3,0,52.9,32.2,20.4,0
100,0.42,0.11,12.48,0.42,0.01,30,13805,0.42,0.42,200,BM_100.xlsx,26,H,31,L,3,Trieste_21,2021,8,5,20,50,0,0.3,0,52.9,32.2,20.4,0
